Paraburkholderia xenovorans LB400	1:NZ_CP008760.1/CP008760.1	2:NZ_CP008762.1/CP008762.1	3:NZ_CP008761.1/CP008761.1					
Brucella abortus	1:NZ_CP008774.1/CP008774.1	2:NZ_CP008775.1/CP008775.1						
Burkholderia pseudomallei 576	1:NZ_CP008777.1/CP008777.1	2:NZ_CP008778.1/CP008778.1						
Burkholderia pseudomallei	1:NZ_CP008780.1/CP008780.1	2:NZ_CP008779.1/CP008779.1						
Burkholderia pseudomallei	1:NZ_CP008781.1/CP008781.1	2:NZ_CP008782.1/CP008782.1						
Burkholderia pseudomallei MSHR5855	1:NZ_CP008784.1/CP008784.1	2:NZ_CP008783.1/CP008783.1						
Ochrobactrum anthropi	1:NZ_CP008820.1/CP008820.1	2:NZ_CP008819.1/CP008819.1						
Burkholderia pseudomallei	1:NZ_CP008834.1/CP008834.1	2:NZ_CP008835.1/CP008835.1						
Burkholderia pseudomallei MSHR5858	1:NZ_CP008891.1/CP008891.1	2:NZ_CP008892.1/CP008892.1						
Burkholderia pseudomallei HBPUB10303a	1:NZ_CP008894.1/CP008894.1	2:NZ_CP008893.1/CP008893.1						
Burkholderia pseudomallei MSHR5848	1:NZ_CP008909.1/CP008909.1	2:NZ_CP008910.1/CP008910.1						
Burkholderia pseudomallei HBPUB10134a	1:NZ_CP008911.1/CP008911.1	2:NZ_CP008912.1/CP008912.1						
Burkholderia thailandensis	1:NZ_CP008914.2/CP008914.2	2:NZ_CP008915.2/CP008915.2						
Burkholderia pseudomallei	1:NZ_CP008916.1/CP008916.1	2:NZ_CP008917.1/CP008917.1						
Brucella suis	1:NZ_CP009094.1/CP009094.1	2:NZ_CP009095.1/CP009095.1						
Burkholderia pseudomallei	1:NZ_CP009128.1/CP009128.1	2:NZ_CP009127.1/CP009127.1						
Burkholderia mallei	1:NZ_CP009148.1/CP009148.1	2:NZ_CP009147.1/CP009147.1						
Burkholderia pseudomallei B03	1:NZ_CP009151.1/CP009151.1	2:NZ_CP009150.1/CP009150.1						
Burkholderia pseudomallei MSHR3965	1:NZ_CP009153.1/CP009153.1	2:NZ_CP009152.1/CP009152.1						
Burkholderia pseudomallei	1:NZ_CP009157.1/CP009157.1	2:NZ_CP009156.1/CP009156.1						
Burkholderia pseudomallei TSV 48	1:NZ_CP009161.1/CP009161.1	2:NZ_CP009160.1/CP009160.1						
Burkholderia pseudomallei K42	1:NZ_CP009162.1/CP009162.1	2:NZ_CP009163.1/CP009163.1						
Burkholderia pseudomallei A79A	1:NZ_CP009165.1/CP009165.1	2:NZ_CP009164.1/CP009164.1						
Burkholderia pseudomallei	1:NZ_CP009209.1/CP009209.1	2:NZ_CP009210.1/CP009210.1						
Burkholderia pseudomallei MSHR62	1:NZ_CP009235.1/CP009235.1	2:NZ_CP009234.1/CP009234.1						
Vibrio coralliilyticus	1:NZ_CP009264.1/CP009264.2	2:NZ_CP009265.1/CP009265.2						
Burkholderia pseudomallei MSHR2243	1:NZ_CP009270.1/CP009270.1	2:NZ_CP009269.1/CP009269.1						
Burkholderia pseudomallei MSHR1153	1:NZ_CP009271.1/CP009271.1	2:NZ_CP009272.1/CP009272.1						
Burkholderia pseudomallei 406e	1:NZ_CP009298.1/CP009298.1	2:NZ_CP009297.1/CP009297.1						
